DATE,DSPIC96
12/1/1987,6353
1/1/1988,6366.4
2/1/1988,6403.6
3/1/1988,6429.7
4/1/1988,6451.8
5/1/1988,6460.8
6/1/1988,6484.8
7/1/1988,6511.8
8/1/1988,6530.1
9/1/1988,6542.7
10/1/1988,6577.6
11/1/1988,6579.8
12/1/1988,6612.2
1/1/1989,6640.5
2/1/1989,6660.2
3/1/1989,6693.7
4/1/1989,6659.3
5/1/1989,6628.8
6/1/1989,6647.6
7/1/1989,6670.9
8/1/1989,6688.6
9/1/1989,6708.6
10/1/1989,6741.7
11/1/1989,6748.1
12/1/1989,6748.2
1/1/1990,6787.8
2/1/1990,6801.9
3/1/1990,6803.6
4/1/1990,6847.3
5/1/1990,6839.1
6/1/1990,6848.9
7/1/1990,6872.7
8/1/1990,6829.5
9/1/1990,6826.2
10/1/1990,6770.2
11/1/1990,6771.9
12/1/1990,6810.8
1/1/1991,6791.5
2/1/1991,6800.8
3/1/1991,6811.6
4/1/1991,6838.3
5/1/1991,6839.6
6/1/1991,6875.1
7/1/1991,6861.8
8/1/1991,6878
9/1/1991,6897.1
10/1/1991,6907.6
11/1/1991,6918.8
12/1/1991,6982.1
1/1/1992,7051.6
2/1/1992,7084
3/1/1992,7091.7
4/1/1992,7112.9
5/1/1992,7147.1
6/1/1992,7177.8
7/1/1992,7173
8/1/1992,7198.8
9/1/1992,7165.6
10/1/1992,7119.7
11/1/1992,7130.6
12/1/1992,7384.7
1/1/1993,7223.5
2/1/1993,7257.7
3/1/1993,7235.1
4/1/1993,7272.7
5/1/1993,7262.2
6/1/1993,7248.8
7/1/1993,7267.1
8/1/1993,7277.7
9/1/1993,7257.8
10/1/1993,7222.3
11/1/1993,7242.4
12/1/1993,7489.1
1/1/1994,7348.8
2/1/1994,7362.9
3/1/1994,7387.3
4/1/1994,7387.6
5/1/1994,7472.8
6/1/1994,7461
7/1/1994,7467.2
8/1/1994,7476
9/1/1994,7508.6
10/1/1994,7579.9
11/1/1994,7579.7
12/1/1994,7614.2
1/1/1995,7638.9
2/1/1995,7654.3
3/1/1995,7675.4
4/1/1995,7618.8
5/1/1995,7695.9
6/1/1995,7719
7/1/1995,7736.3
8/1/1995,7741.6
9/1/1995,7766.9
10/1/1995,7775.7
11/1/1995,7797.1
12/1/1995,7807.8
1/1/1996,7818.5
2/1/1996,7879
3/1/1996,7904.5
4/1/1996,7857
5/1/1996,7956.5
6/1/1996,8004.7
7/1/1996,7983.8
8/1/1996,8004.2
9/1/1996,8023.1
10/1/1996,8022.6
11/1/1996,8044.5
12/1/1996,8072
1/1/1997,8095.1
2/1/1997,8117.7
3/1/1997,8156.2
4/1/1997,8162.4
5/1/1997,8198.2
6/1/1997,8224.5
7/1/1997,8255.6
8/1/1997,8298.5
9/1/1997,8320.2
10/1/1997,8361.4
11/1/1997,8415.4
12/1/1997,8463.9
1/1/1998,8538.3
2/1/1998,8592.2
3/1/1998,8641.5
4/1/1998,8668.8
5/1/1998,8704.1
6/1/1998,8753.5
7/1/1998,8769
8/1/1998,8797.3
9/1/1998,8823.3
10/1/1998,8836.1
11/1/1998,8872.6
12/1/1998,8889.9
1/1/1999,8923.4
2/1/1999,8953.2
3/1/1999,8962.3
4/1/1999,8944.9
5/1/1999,8962
6/1/1999,8992.5
7/1/1999,9002.6
8/1/1999,9043
9/1/1999,9037.4
10/1/1999,9094.7
11/1/1999,9160.3
12/1/1999,9234.7
1/1/2000,9307.1
2/1/2000,9342.6
3/1/2000,9366.5
4/1/2000,9409.8
5/1/2000,9446.4
6/1/2000,9469.6
7/1/2000,9516.6
8/1/2000,9568.5
9/1/2000,9569.8
10/1/2000,9582.9
11/1/2000,9579
12/1/2000,9595.3
1/1/2001,9651.9
2/1/2001,9668.6
3/1/2001,9697.2
4/1/2001,9670.8
5/1/2001,9648.1
6/1/2001,9648.4
7/1/2001,9790.7
8/1/2001,9958.9
9/1/2001,9886.2
10/1/2001,9732.3
11/1/2001,9754.3
12/1/2001,9774.4
1/1/2002,9968.4
2/1/2002,9976.4
3/1/2002,9975.9
4/1/2002,10011.3
5/1/2002,10044.8
6/1/2002,10067
7/1/2002,10035
8/1/2002,10028.9
9/1/2002,10032.9
10/1/2002,10060.7
11/1/2002,10090.6
12/1/2002,10124.4
1/1/2003,10124.6
2/1/2003,10098.3
3/1/2003,10124
4/1/2003,10177
5/1/2003,10254.7
6/1/2003,10285
7/1/2003,10408.7
8/1/2003,10476.8
9/1/2003,10350.6
10/1/2003,10390.6
11/1/2003,10456.5
12/1/2003,10470.9
1/1/2004,10461
2/1/2004,10479.2
3/1/2004,10522.1
4/1/2004,10566.2
5/1/2004,10623.7
6/1/2004,10632.7
7/1/2004,10654.4
8/1/2004,10685.5
9/1/2004,10690.7
10/1/2004,10697.8
11/1/2004,10670.2
12/1/2004,11066.7
1/1/2005,10669.4
2/1/2005,10673.8
3/1/2005,10711.8
4/1/2005,10745.9
5/1/2005,10795
6/1/2005,10818.5
7/1/2005,10821.3
8/1/2005,10835.1
9/1/2005,10798.2
10/1/2005,10877.4
11/1/2005,10967.9
12/1/2005,11025.5
1/1/2006,11137
2/1/2006,11176.3
3/1/2006,11196.8
4/1/2006,11191.5
5/1/2006,11186.7
6/1/2006,11214
7/1/2006,11204.8
8/1/2006,11201.5
9/1/2006,11272.7
10/1/2006,11330.6
11/1/2006,11374.6
12/1/2006,11418.3
1/1/2007,11429.1
2/1/2007,11472.6
3/1/2007,11512.3
4/1/2007,11511.4
5/1/2007,11504.4
6/1/2007,11486.6
7/1/2007,11496.2
8/1/2007,11504.7
9/1/2007,11532.1
10/1/2007,11513.9
11/1/2007,11500.4
12/1/2007,11542.1
1/1/2008,11553.7
2/1/2008,11551.7
